case_id,query_id,standard_id,candidate_title,case_type,expected_action,record_type,validation_status
HC-V03-000031,SYN-REQ-00016,MSV1-234F7C5D090BB7BE,Information technology Open Connectivity Foundation OCF Specification Part 16: OCF resource to UPlus mapping specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000032,SYN-REQ-00016,MSV1-28D52356477E755F,Information technology Open Connectivity Foundation OCF Specification Part 8: OCF resource to oneM2M resource mapping specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000033,SYN-REQ-00017,MSV1-D693BFD6B8182E44,Pesticide - Pirimiphos methyl space spray specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000034,SYN-REQ-00017,MSV1-7CCFE09B7D7E20D6,Pirimiphos methyl space spray - Specification (first revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000035,SYN-REQ-00018,MSV1-CD0199B1E7D492C2,Graphical symbols - Creation and design of public information symbols - Requirements,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000036,SYN-REQ-00018,MSV1-17F76FD4F8F4577E,Graphical Symbols - Safety Colours and Safety Signs Part 2 Design Principles for Product Safety Labels,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000037,SYN-REQ-00019,MSV1-B2E0047B60DE8996,Automotive Vehicles — External Projections Part 2 Performance Requirements for Vehicles of Categories Other than M1 ( First Revision ),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000038,SYN-REQ-00019,MSV1-6BB2B23BF1DBD006,Automotive vehicles - Wheel guards for vehicles of m1 category - Performance (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000039,SYN-REQ-00020,MSV1-DCF8F0E11FC55DAA,Man Riding Chair Lift System for Transportation of Persons in Mines,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000040,SYN-REQ-00020,MSV1-125B2DE672B73ACB,Specification for use of timber in coal mines,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000041,SYN-REQ-00021,MSV1-8736C70DFBF7E83F,Method of measurement of works in river valley projects (dams and appurtenant structures): Part 4 Concrete work,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000042,SYN-REQ-00021,MSV1-EEFE4A77C9E65447,Method of measurement of work in river valley projects (Dams And Appurtenant Structures): Part 18 sheet pilcng,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000043,SYN-REQ-00022,MSV1-167162C38D5C79D6,Industrial automation glossary,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000044,SYN-REQ-00022,MSV1-8B9DF1FBFBB63154,Industrial automation systems and integration - Service interface for testing applications: Part 1 overview,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000045,SYN-REQ-00023,MSV1-C7486328BDB04795,Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000046,SYN-REQ-00023,MSV1-E4F64E54560FD8C3,Earth-Moving Machinery — Safety Part 4 Requirements for Backhoe Loaders ( Second Revision ),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000047,SYN-REQ-00024,MSV1-2983874B08754C2E,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT CHIPPINGS SPREADERS TERMINOLOGY AND COMMERCIAL SPECIFICATIONS Adoption of ISO 15644,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000048,SYN-REQ-00024,MSV1-37B7683600B27DF8,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT - ROAD MILLING MACHINERY - TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15645 ),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000049,SYN-REQ-00025,MSV1-CFBCFC071DA8AB32,Specification for playgroijnd equipment for parks: Part ii horizontal bars,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000050,SYN-REQ-00025,MSV1-0DA4312342F831AD,Specification for playground equipment for parks: Part 111 horizontal ladders,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000051,SYN-REQ-00026,MSV1-55FB1F79EB65BAA6,Head configuration and gauging of countersunk head screws,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000052,SYN-REQ-00026,MSV1-89499DEDCEB689F7,Specification for slotted countersunk head wood screws,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000053,SYN-REQ-00027,MSV1-A3F46B38962E88BA,"Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000054,SYN-REQ-00027,MSV1-67F4B7AF133D82B1,Fenpropathrin emulsifiable concentrate - Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000055,SYN-REQ-00028,MSV1-870F8897A0794D19,Rotating electrical machines Part 25 AC electrical machines used in power drive systems - Application guide,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000056,SYN-REQ-00028,MSV1-562F489441C11FE0,Electrical accessories Circuit-breakers for overcurrent protection for household and similar installations Part 2: Circuit-breakers for AC and DC operation,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000057,SYN-REQ-00029,MSV1-3C77D61BEDCC1676,Straight bevel gears for general engineering and heavy engineering: Part 1 basic rack (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000058,SYN-REQ-00029,MSV1-D8CC0078D40058AD,Cylindrical gears for general and heavy engineering: Part 2 module (Third Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000059,SYN-REQ-00030,MSV1-52D50ADC8BC6CF63,Methods of Test for Vitreous Enamelware Part 2 Test Methods Section 5 Resistance to hot alkali ( Second Revision ),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000060,SYN-REQ-00030,MSV1-9A52E0D66A168B0E,Methods of Test for Vitreous Enamelware Part 2 Test Methods Section 4 Resistance to thermal shock ( Second Revision ),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000061,SYN-REQ-00031,MSV1-FB09E8DE59382516,Specification for bifurcated rivets for general purposes,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000062,SYN-REQ-00031,MSV1-B7BD88F957FF1A97,Paper - Holes for General Filing Purposes - Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000063,SYN-REQ-00032,MSV1-6AB0A38FA591DFE5,Internet of Things (loT) — Digital Twin — Use Cases,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000064,SYN-REQ-00032,MSV1-1F69AA481397C92A,Information Technology Internet of Things ( IOT ) IOT Use Cases,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000065,SYN-REQ-00033,MSV1-ACA33D17049B7DDB,Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000066,SYN-REQ-00033,MSV1-9F67A9F890F3B703,Industrial furnaces and associated processing equipment - Safety - Part 1: General requirements,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000067,SYN-REQ-00034,MSV1-16D15904229745DD,"Triple superphosphate, fertilizer grade - Specification (Second Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000068,SYN-REQ-00034,MSV1-2403E9BAC10ACFCA,"Urea, Fertilizer Grade — Specification (Second Revision)",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000069,SYN-REQ-00035,MSV1-44DE411809B7A2D1,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 8 determination of silicon content,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000070,SYN-REQ-00035,MSV1-9C89C522B312AC58,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 9 determination of vanadium content,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000071,SYN-REQ-00036,MSV1-9E544C282701D83C,CINEMATOGRAPHY - CORES FOR MOTION-PICTURE AND MAGNETIC FILM ROLLS DIMENSIONS ADOPTION OF ISO 1039: 1995,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000072,SYN-REQ-00036,MSV1-E8FAE69A4BCC4FBD,CINEMATOGRAPHY 16 MM MOTION-PICTURE AND MAGNETIC FILM CUTTING AND PERFORATING DIMENSIONS,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000073,SYN-REQ-00037,MSV1-C781CFCFCE314A39,Environmental testing Part 3 Supporting documentation and guidance Section - 4: Damp heat tests First Revision,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000074,SYN-REQ-00037,MSV1-BA9BFF28F6859CD9,Environmental Testing Part 2: Tests - Test B Section 2: Dry Heat,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000075,SYN-REQ-00038,MSV1-D63F542EE2156E0B,Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000076,SYN-REQ-00038,MSV1-444E2C2E90DF7986,Specification for aluminium alloy wire for cold forged rivets for aircraft purposes (Alloy 24530),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000077,SYN-REQ-00039,MSV1-4455E8D32414E939,Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000078,SYN-REQ-00039,MSV1-52AB82AC10D7ACE1,Prefabricated Brick Panel And Partially Precast Concrete Joist For Flooring And Roofing,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000079,SYN-REQ-00040,MSV1-CC0EF6BFF04FBA78,Specification for Tractor - Operated Disc Ploughs,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000080,SYN-REQ-00040,MSV1-62908FCE23266AB3,Specification for Share for Tractor - Operated Mould Board Ploughs,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000081,SYN-REQ-00041,MSV1-F5A117CFA6A89A52,Light basic magnesium carbonate - Specification (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000082,SYN-REQ-00041,MSV1-8BC9502746E56796,Light basic magnesium carbonate - Specification (Third Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000083,SYN-REQ-00042,MSV1-20F980C6DE18EADC,Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000084,SYN-REQ-00042,MSV1-27A8FBB950C88CEE,Blow moulded HDPE containers for packaging of edible oils - Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000085,SYN-REQ-00043,MSV1-D3BC74D77ED0F4F7,Specification for static invertors for aircrafts,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000086,SYN-REQ-00043,MSV1-60A0CA84A6F90365,By-Product Gypsum for Construction - Specification (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000087,SYN-REQ-00044,MSV1-176D16145235E6A5,Schedule for properties and availability of stones for construction purposes: Part 1 Gujarat state: Sec 2 engineering properties of building stones,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000088,SYN-REQ-00044,MSV1-F3E058610CF36B8F,Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 1 availability of stones,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000089,SYN-REQ-00045,MSV1-60BDD38C32BB7438,Sterilization of Health Care Products â€• Biological Indicators Part 4 Biological Indicators for Dry Heat Sterilization Processes,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000090,SYN-REQ-00045,MSV1-5BC24AF9DBC5EFD2,Sterilization of Health Care Products â€• Biological Indicators Part 5 Biological Indicators for Low-Temperature Steam and Formaldehyde Sterilization Processes,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000091,SYN-REQ-00046,MSV1-D87E95A582F73F7A,Brass Anodes for Electroplating Specification,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000092,SYN-REQ-00046,MSV1-C41439E539814D83,Specification for brass anodes for electroplating (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000093,SYN-REQ-00047,MSV1-A3E1DE5CD8B7CDBF,Textiles Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 2 Method of the vertically folded specimen second revision,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000094,SYN-REQ-00047,MSV1-63E6281FC0A48ABF,Textiles — Determination of Fabric Propensity to Surface Pilling Fuzzing or Matting Part 1: Pilling Box Method (second revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000095,SYN-REQ-00048,MSV1-4987A2E27DA3EC13,TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000096,SYN-REQ-00048,MSV1-42F6667A05006267,TEXTILES - HANDLOOM COTTON SHIRTING - SPECIFICATION (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000097,SYN-REQ-00049,MSV1-B285E36825CAD66F,Petroleum and Its Products - Methods of Test Part 34 Determination of Sulphur In Petroleum Products (Lamp Method) (Third Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000098,SYN-REQ-00049,MSV1-796858985E6D0F17,Methods of test for petroleum and its products [p : 97] determination of thermal oxidation stability of gas turbine fuels - Jftot method (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000099,SYN-REQ-00050,MSV1-F34930B4433C6EFD,INDIAN CLUBS - SPECIFICATION,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000100,SYN-REQ-00050,MSV1-69AC93590953A965,Indian standard specification for ambadi oil,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000101,SYN-REQ-00051,MSV1-41BD3C80045CEF14,"Glossary of Terms Relating to Builders Hardware, Part 1 Locks",LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000102,SYN-REQ-00051,MSV1-1B003F43ABD9161C,Glossary of terms relating to pozzolana (First Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000103,SYN-REQ-00052,MSV1-54208FA485539B53,Methods of test for brown coals and lignites : Part 5 determination of acetone-soluble material (Resinous Substance) in the benzene-soluble extract (Second Revision),LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000104,SYN-REQ-00052,MSV1-DE7B24A7E4E91305,Methods of test for brown coals and lignites : Part 1 determination of moisture content by the direct volumetric method,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000105,SYN-REQ-00053,MSV1-40A89A770BC18443,SPACE SYSTEMS - GUIDELINES FOR THE MANAGEMENT OF SYSTEMS ENGINEERING,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
HC-V03-000106,SYN-REQ-00053,MSV1-8F7B1CEC93673957,Medical Device Software Part 1 Guidance on the Application of ISO 14971 to Medical Device Software,LEXICAL_SIMILARITY,REJECT_NEGATIVE,SYNTHETIC,NEEDS_EXPERT_VALIDATION
