pair_id,query_id,negative_standard_id,pair_type,reason,similarity_score,validation_status
HNP-V03-000017,SYN-REQ-00009,MSV1-4CDE5C39D67EEFDA,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4138,NEEDS_EXPERT_VALIDATION
HNP-V03-000018,SYN-REQ-00009,MSV1-BCD9F3EEE17224A2,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3929,NEEDS_EXPERT_VALIDATION
HNP-V03-000019,SYN-REQ-00010,MSV1-AAC57D2BF17EFD5C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5556,NEEDS_EXPERT_VALIDATION
HNP-V03-000020,SYN-REQ-00010,MSV1-98241D588FEDCF5A,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5517,NEEDS_EXPERT_VALIDATION
HNP-V03-000021,SYN-REQ-00011,MSV1-53566C4BC7E9D913,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.36,NEEDS_EXPERT_VALIDATION
HNP-V03-000022,SYN-REQ-00011,MSV1-E73FAD7D3F58EBE7,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3448,NEEDS_EXPERT_VALIDATION
HNP-V03-000023,SYN-REQ-00012,MSV1-F7A7E5BBAD152C46,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.1935,NEEDS_EXPERT_VALIDATION
HNP-V03-000024,SYN-REQ-00012,MSV1-267EB8A04BF8E475,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.1842,NEEDS_EXPERT_VALIDATION
HNP-V03-000025,SYN-REQ-00013,MSV1-9C953BC6A83742FF,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5385,NEEDS_EXPERT_VALIDATION
HNP-V03-000026,SYN-REQ-00013,MSV1-93BE1963672E7579,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3846,NEEDS_EXPERT_VALIDATION
HNP-V03-000027,SYN-REQ-00014,MSV1-087B866DBA81E85E,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5333,NEEDS_EXPERT_VALIDATION
HNP-V03-000028,SYN-REQ-00014,MSV1-76A7D564FA236BB6,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4375,NEEDS_EXPERT_VALIDATION
HNP-V03-000029,SYN-REQ-00015,MSV1-FE5E2ECF6D21CF29,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5625,NEEDS_EXPERT_VALIDATION
HNP-V03-000030,SYN-REQ-00015,MSV1-1679E3647B6CD1A4,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4706,NEEDS_EXPERT_VALIDATION
HNP-V03-000031,SYN-REQ-00016,MSV1-234F7C5D090BB7BE,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000032,SYN-REQ-00016,MSV1-28D52356477E755F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000033,SYN-REQ-00017,MSV1-D693BFD6B8182E44,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4615,NEEDS_EXPERT_VALIDATION
HNP-V03-000034,SYN-REQ-00017,MSV1-7CCFE09B7D7E20D6,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3333,NEEDS_EXPERT_VALIDATION
HNP-V03-000035,SYN-REQ-00018,MSV1-CD0199B1E7D492C2,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5625,NEEDS_EXPERT_VALIDATION
HNP-V03-000036,SYN-REQ-00018,MSV1-17F76FD4F8F4577E,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2609,NEEDS_EXPERT_VALIDATION
HNP-V03-000037,SYN-REQ-00019,MSV1-B2E0047B60DE8996,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.44,NEEDS_EXPERT_VALIDATION
HNP-V03-000038,SYN-REQ-00019,MSV1-6BB2B23BF1DBD006,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4091,NEEDS_EXPERT_VALIDATION
HNP-V03-000039,SYN-REQ-00020,MSV1-DCF8F0E11FC55DAA,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4286,NEEDS_EXPERT_VALIDATION
HNP-V03-000040,SYN-REQ-00020,MSV1-125B2DE672B73ACB,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.1739,NEEDS_EXPERT_VALIDATION
HNP-V03-000041,SYN-REQ-00021,MSV1-8736C70DFBF7E83F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4444,NEEDS_EXPERT_VALIDATION
HNP-V03-000042,SYN-REQ-00021,MSV1-EEFE4A77C9E65447,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4444,NEEDS_EXPERT_VALIDATION
HNP-V03-000043,SYN-REQ-00022,MSV1-167162C38D5C79D6,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3,NEEDS_EXPERT_VALIDATION
HNP-V03-000044,SYN-REQ-00022,MSV1-8B9DF1FBFBB63154,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2105,NEEDS_EXPERT_VALIDATION
HNP-V03-000045,SYN-REQ-00023,MSV1-C7486328BDB04795,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2353,NEEDS_EXPERT_VALIDATION
HNP-V03-000046,SYN-REQ-00023,MSV1-E4F64E54560FD8C3,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2258,NEEDS_EXPERT_VALIDATION
HNP-V03-000047,SYN-REQ-00024,MSV1-2983874B08754C2E,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4583,NEEDS_EXPERT_VALIDATION
HNP-V03-000048,SYN-REQ-00024,MSV1-37B7683600B27DF8,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4583,NEEDS_EXPERT_VALIDATION
HNP-V03-000049,SYN-REQ-00025,MSV1-CFBCFC071DA8AB32,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6,NEEDS_EXPERT_VALIDATION
HNP-V03-000050,SYN-REQ-00025,MSV1-0DA4312342F831AD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3333,NEEDS_EXPERT_VALIDATION
HNP-V03-000051,SYN-REQ-00026,MSV1-55FB1F79EB65BAA6,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000052,SYN-REQ-00026,MSV1-89499DEDCEB689F7,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2353,NEEDS_EXPERT_VALIDATION
HNP-V03-000053,SYN-REQ-00027,MSV1-A3F46B38962E88BA,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4615,NEEDS_EXPERT_VALIDATION
HNP-V03-000054,SYN-REQ-00027,MSV1-67F4B7AF133D82B1,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3077,NEEDS_EXPERT_VALIDATION
HNP-V03-000055,SYN-REQ-00028,MSV1-870F8897A0794D19,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2308,NEEDS_EXPERT_VALIDATION
HNP-V03-000056,SYN-REQ-00028,MSV1-562F489441C11FE0,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2069,NEEDS_EXPERT_VALIDATION
HNP-V03-000057,SYN-REQ-00029,MSV1-3C77D61BEDCC1676,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4583,NEEDS_EXPERT_VALIDATION
HNP-V03-000058,SYN-REQ-00029,MSV1-D8CC0078D40058AD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4348,NEEDS_EXPERT_VALIDATION
HNP-V03-000059,SYN-REQ-00030,MSV1-52D50ADC8BC6CF63,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000060,SYN-REQ-00030,MSV1-9A52E0D66A168B0E,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000061,SYN-REQ-00031,MSV1-FB09E8DE59382516,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000062,SYN-REQ-00031,MSV1-B7BD88F957FF1A97,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2667,NEEDS_EXPERT_VALIDATION
HNP-V03-000063,SYN-REQ-00032,MSV1-6AB0A38FA591DFE5,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5333,NEEDS_EXPERT_VALIDATION
HNP-V03-000064,SYN-REQ-00032,MSV1-1F69AA481397C92A,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2778,NEEDS_EXPERT_VALIDATION
HNP-V03-000065,SYN-REQ-00033,MSV1-ACA33D17049B7DDB,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6111,NEEDS_EXPERT_VALIDATION
HNP-V03-000066,SYN-REQ-00033,MSV1-9F67A9F890F3B703,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.381,NEEDS_EXPERT_VALIDATION
HNP-V03-000067,SYN-REQ-00034,MSV1-16D15904229745DD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000068,SYN-REQ-00034,MSV1-2403E9BAC10ACFCA,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3333,NEEDS_EXPERT_VALIDATION
HNP-V03-000069,SYN-REQ-00035,MSV1-44DE411809B7A2D1,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5217,NEEDS_EXPERT_VALIDATION
HNP-V03-000070,SYN-REQ-00035,MSV1-9C89C522B312AC58,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5217,NEEDS_EXPERT_VALIDATION
HNP-V03-000071,SYN-REQ-00036,MSV1-9E544C282701D83C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.303,NEEDS_EXPERT_VALIDATION
HNP-V03-000072,SYN-REQ-00036,MSV1-E8FAE69A4BCC4FBD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2581,NEEDS_EXPERT_VALIDATION
HNP-V03-000073,SYN-REQ-00037,MSV1-C781CFCFCE314A39,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.44,NEEDS_EXPERT_VALIDATION
HNP-V03-000074,SYN-REQ-00037,MSV1-BA9BFF28F6859CD9,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2917,NEEDS_EXPERT_VALIDATION
HNP-V03-000075,SYN-REQ-00038,MSV1-D63F542EE2156E0B,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6471,NEEDS_EXPERT_VALIDATION
HNP-V03-000076,SYN-REQ-00038,MSV1-444E2C2E90DF7986,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3333,NEEDS_EXPERT_VALIDATION
HNP-V03-000077,SYN-REQ-00039,MSV1-4455E8D32414E939,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.625,NEEDS_EXPERT_VALIDATION
HNP-V03-000078,SYN-REQ-00039,MSV1-52AB82AC10D7ACE1,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.35,NEEDS_EXPERT_VALIDATION
HNP-V03-000079,SYN-REQ-00040,MSV1-CC0EF6BFF04FBA78,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000080,SYN-REQ-00040,MSV1-62908FCE23266AB3,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3333,NEEDS_EXPERT_VALIDATION
HNP-V03-000081,SYN-REQ-00041,MSV1-F5A117CFA6A89A52,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000082,SYN-REQ-00041,MSV1-8BC9502746E56796,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000083,SYN-REQ-00042,MSV1-20F980C6DE18EADC,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6471,NEEDS_EXPERT_VALIDATION
HNP-V03-000084,SYN-REQ-00042,MSV1-27A8FBB950C88CEE,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.35,NEEDS_EXPERT_VALIDATION
HNP-V03-000085,SYN-REQ-00043,MSV1-D3BC74D77ED0F4F7,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4545,NEEDS_EXPERT_VALIDATION
HNP-V03-000086,SYN-REQ-00043,MSV1-60A0CA84A6F90365,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.1875,NEEDS_EXPERT_VALIDATION
HNP-V03-000087,SYN-REQ-00044,MSV1-176D16145235E6A5,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.625,NEEDS_EXPERT_VALIDATION
HNP-V03-000088,SYN-REQ-00044,MSV1-F3E058610CF36B8F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6087,NEEDS_EXPERT_VALIDATION
HNP-V03-000089,SYN-REQ-00045,MSV1-60BDD38C32BB7438,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4545,NEEDS_EXPERT_VALIDATION
HNP-V03-000090,SYN-REQ-00045,MSV1-5BC24AF9DBC5EFD2,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000091,SYN-REQ-00046,MSV1-D87E95A582F73F7A,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4545,NEEDS_EXPERT_VALIDATION
HNP-V03-000092,SYN-REQ-00046,MSV1-C41439E539814D83,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3846,NEEDS_EXPERT_VALIDATION
HNP-V03-000093,SYN-REQ-00047,MSV1-A3E1DE5CD8B7CDBF,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6207,NEEDS_EXPERT_VALIDATION
HNP-V03-000094,SYN-REQ-00047,MSV1-63E6281FC0A48ABF,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2941,NEEDS_EXPERT_VALIDATION
HNP-V03-000095,SYN-REQ-00048,MSV1-4987A2E27DA3EC13,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5333,NEEDS_EXPERT_VALIDATION
HNP-V03-000096,SYN-REQ-00048,MSV1-42F6667A05006267,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.375,NEEDS_EXPERT_VALIDATION
HNP-V03-000097,SYN-REQ-00049,MSV1-B285E36825CAD66F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3793,NEEDS_EXPERT_VALIDATION
HNP-V03-000098,SYN-REQ-00049,MSV1-796858985E6D0F17,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3636,NEEDS_EXPERT_VALIDATION
HNP-V03-000099,SYN-REQ-00050,MSV1-F34930B4433C6EFD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3,NEEDS_EXPERT_VALIDATION
HNP-V03-000100,SYN-REQ-00050,MSV1-69AC93590953A965,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2308,NEEDS_EXPERT_VALIDATION
HNP-V03-000101,SYN-REQ-00051,MSV1-41BD3C80045CEF14,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000102,SYN-REQ-00051,MSV1-1B003F43ABD9161C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3684,NEEDS_EXPERT_VALIDATION
HNP-V03-000103,SYN-REQ-00052,MSV1-54208FA485539B53,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3,NEEDS_EXPERT_VALIDATION
HNP-V03-000104,SYN-REQ-00052,MSV1-DE7B24A7E4E91305,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2973,NEEDS_EXPERT_VALIDATION
HNP-V03-000105,SYN-REQ-00053,MSV1-40A89A770BC18443,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.25,NEEDS_EXPERT_VALIDATION
HNP-V03-000106,SYN-REQ-00053,MSV1-8F7B1CEC93673957,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.25,NEEDS_EXPERT_VALIDATION
HNP-V03-000107,SYN-REQ-00054,MSV1-91595C735ADEC1F7,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4,NEEDS_EXPERT_VALIDATION
HNP-V03-000108,SYN-REQ-00054,MSV1-5E96F7B49A866542,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.381,NEEDS_EXPERT_VALIDATION
HNP-V03-000109,SYN-REQ-00055,MSV1-3748ABEE179A069F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3636,NEEDS_EXPERT_VALIDATION
HNP-V03-000110,SYN-REQ-00055,MSV1-BC06084CD3F9799A,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2069,NEEDS_EXPERT_VALIDATION
HNP-V03-000111,SYN-REQ-00056,MSV1-D58636B0F249EF5F,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5333,NEEDS_EXPERT_VALIDATION
HNP-V03-000112,SYN-REQ-00056,MSV1-AFA1A572707EF0ED,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3529,NEEDS_EXPERT_VALIDATION
HNP-V03-000113,SYN-REQ-00057,MSV1-C9FA447378271B49,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5882,NEEDS_EXPERT_VALIDATION
HNP-V03-000114,SYN-REQ-00057,MSV1-26742900353F9ADB,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3333,NEEDS_EXPERT_VALIDATION
HNP-V03-000115,SYN-REQ-00058,MSV1-47E6442A1C74B0C2,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2564,NEEDS_EXPERT_VALIDATION
HNP-V03-000116,SYN-REQ-00058,MSV1-65B57E1159174C48,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2286,NEEDS_EXPERT_VALIDATION
HNP-V03-000117,SYN-REQ-00059,MSV1-4D531161A2CAE000,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.6471,NEEDS_EXPERT_VALIDATION
HNP-V03-000118,SYN-REQ-00059,MSV1-F3800880247BB41D,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4737,NEEDS_EXPERT_VALIDATION
HNP-V03-000119,SYN-REQ-00060,MSV1-129872BA36D7B756,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000120,SYN-REQ-00060,MSV1-3BA5F7D9DC1A664A,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4615,NEEDS_EXPERT_VALIDATION
HNP-V03-000121,SYN-REQ-00061,MSV1-28D7BF967D02F302,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4167,NEEDS_EXPERT_VALIDATION
HNP-V03-000122,SYN-REQ-00061,MSV1-CC8EC9138A3B329E,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3846,NEEDS_EXPERT_VALIDATION
HNP-V03-000123,SYN-REQ-00062,MSV1-93E0C4F2CDCF8276,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.25,NEEDS_EXPERT_VALIDATION
HNP-V03-000124,SYN-REQ-00062,MSV1-DCC325840C9B6E8B,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2414,NEEDS_EXPERT_VALIDATION
HNP-V03-000125,SYN-REQ-00063,MSV1-32775E6D176E9B52,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000126,SYN-REQ-00063,MSV1-EAAEBE82D40D7A95,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.25,NEEDS_EXPERT_VALIDATION
HNP-V03-000127,SYN-REQ-00064,MSV1-3EE6E6CEFBBBAA43,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3636,NEEDS_EXPERT_VALIDATION
HNP-V03-000128,SYN-REQ-00064,MSV1-171612D167B67AB4,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.2667,NEEDS_EXPERT_VALIDATION
HNP-V03-000129,SYN-REQ-00065,MSV1-C28B849A19335353,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.625,NEEDS_EXPERT_VALIDATION
HNP-V03-000130,SYN-REQ-00065,MSV1-28E3E22CDA8C2D9C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3684,NEEDS_EXPERT_VALIDATION
HNP-V03-000131,SYN-REQ-00066,MSV1-F8585B27B64E0DB6,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4615,NEEDS_EXPERT_VALIDATION
HNP-V03-000132,SYN-REQ-00066,MSV1-39568E681DA4207C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3529,NEEDS_EXPERT_VALIDATION
HNP-V03-000133,SYN-REQ-00067,MSV1-1D5C8ACDBD469023,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.625,NEEDS_EXPERT_VALIDATION
HNP-V03-000134,SYN-REQ-00067,MSV1-5E9437B97D00FB22,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4444,NEEDS_EXPERT_VALIDATION
HNP-V03-000135,SYN-REQ-00068,MSV1-EBF0E53E3B7C8421,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.625,NEEDS_EXPERT_VALIDATION
HNP-V03-000136,SYN-REQ-00068,MSV1-021CD12C2F63D49C,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.4444,NEEDS_EXPERT_VALIDATION
HNP-V03-000137,SYN-REQ-00069,MSV1-42DCA7A6D8B584DD,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5652,NEEDS_EXPERT_VALIDATION
HNP-V03-000138,SYN-REQ-00069,MSV1-2512F97FFB7A90E2,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5,NEEDS_EXPERT_VALIDATION
HNP-V03-000139,SYN-REQ-00070,MSV1-37202524021751A9,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5714,NEEDS_EXPERT_VALIDATION
HNP-V03-000140,SYN-REQ-00070,MSV1-E935DC537CF01E34,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5556,NEEDS_EXPERT_VALIDATION
HNP-V03-000141,SYN-REQ-00071,MSV1-19E90945D0B67938,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.3448,NEEDS_EXPERT_VALIDATION
HNP-V03-000142,SYN-REQ-00071,MSV1-77C37A240892FBD0,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.32,NEEDS_EXPERT_VALIDATION
HNP-V03-000143,SYN-REQ-00072,MSV1-F121E152DF098C26,HARD_NEGATIVE,LEXICAL_SIMILAR_NOT_GOLD,0.5333,NEEDS_EXPERT_VALIDATION
