tender_id,title,department,category,description,source,source_date,record_type,synthetic_flag
SYN-TENDER-00011,Synthetic procurement: Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00012,"Synthetic procurement: Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",SYNTHETIC,Methods of Tests,"Procurement requirement for product/service conforming to Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00013,Synthetic procurement: SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00014,Synthetic procurement: Textiles — Grading of Uncut Indian Mesta (First Revision),SYNTHETIC,Code of Practice,Procurement requirement for product/service conforming to Textiles — Grading of Uncut Indian Mesta (First Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00015,"Synthetic procurement: Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",SYNTHETIC,Dimensions,"Procurement requirement for product/service conforming to Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00016,Synthetic procurement: Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,SYNTHETIC,System Standard,Procurement requirement for product/service conforming to Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00017,Synthetic procurement: Pesticide - Pirimiphos methyl space spray specification,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Pesticide - Pirimiphos methyl space spray specification,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00018,Synthetic procurement: Graphical symbols - Creation and design of public information symbols - Requirements,SYNTHETIC,Safety Standard,Procurement requirement for product/service conforming to Graphical symbols - Creation and design of public information symbols - Requirements,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00019,Synthetic procurement: Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),SYNTHETIC,Safety Standard,Procurement requirement for product/service conforming to Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00020,Synthetic procurement: Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00021,Synthetic procurement: METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,SYNTHETIC,Code of Practice,Procurement requirement for product/service conforming to METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00022,Synthetic procurement: Industrial automation glossary,SYNTHETIC,Terminology,Procurement requirement for product/service conforming to Industrial automation glossary,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00023,Synthetic procurement: Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00024,Synthetic procurement: ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00025,Synthetic procurement: Specification for playgroijnd equipment for parks: Part ii horizontal bars,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for playgroijnd equipment for parks: Part ii horizontal bars,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00026,Synthetic procurement: Head configuration and gauging of countersunk head screws,SYNTHETIC,Terminology,Procurement requirement for product/service conforming to Head configuration and gauging of countersunk head screws,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00027,"Synthetic procurement: Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",SYNTHETIC,Product Specification,"Procurement requirement for product/service conforming to Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00028,Synthetic procurement: Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,SYNTHETIC,Others,Procurement requirement for product/service conforming to Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00029,Synthetic procurement: Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00030,Synthetic procurement: Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00031,Synthetic procurement: Specification for bifurcated rivets for general purposes,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for bifurcated rivets for general purposes,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00032,Synthetic procurement: Internet of Things (loT) — Digital Twin — Use Cases,SYNTHETIC,System Standard,Procurement requirement for product/service conforming to Internet of Things (loT) — Digital Twin — Use Cases,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00033,Synthetic procurement: Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,SYNTHETIC,Safety Standard,Procurement requirement for product/service conforming to Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00034,"Synthetic procurement: Triple superphosphate, fertilizer grade - Specification (Second Revision)",SYNTHETIC,Product Specification,"Procurement requirement for product/service conforming to Triple superphosphate, fertilizer grade - Specification (Second Revision)",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00035,Synthetic procurement: Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00036,Synthetic procurement: CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,SYNTHETIC,Dimensions,Procurement requirement for product/service conforming to CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00037,Synthetic procurement: Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00038,Synthetic procurement: Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00039,Synthetic procurement: Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00040,Synthetic procurement: Specification for Tractor - Operated Disc Ploughs,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for Tractor - Operated Disc Ploughs,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00041,Synthetic procurement: Light basic magnesium carbonate - Specification (Second Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Light basic magnesium carbonate - Specification (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00042,Synthetic procurement: Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00043,Synthetic procurement: Specification for static invertors for aircrafts,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for static invertors for aircrafts,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00044,Synthetic procurement: Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,SYNTHETIC,Others,Procurement requirement for product/service conforming to Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00045,Synthetic procurement: Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00046,Synthetic procurement: Brass Anodes for Electroplating Specification,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Brass Anodes for Electroplating Specification,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00047,Synthetic procurement: Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00048,Synthetic procurement: TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00049,Synthetic procurement: Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00050,Synthetic procurement: INDIAN CLUBS - SPECIFICATION,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to INDIAN CLUBS - SPECIFICATION,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00051,Synthetic procurement: Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),SYNTHETIC,Terminology,Procurement requirement for product/service conforming to Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00052,Synthetic procurement: Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00053,Synthetic procurement: Software engineering Guidelines for the application of ISO 9001:2008 to computer software,SYNTHETIC,System Standard,Procurement requirement for product/service conforming to Software engineering Guidelines for the application of ISO 9001:2008 to computer software,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00054,Synthetic procurement: Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00055,Synthetic procurement: Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00056,Synthetic procurement: Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,SYNTHETIC,Others,Procurement requirement for product/service conforming to Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00057,Synthetic procurement: Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00058,Synthetic procurement: SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,SYNTHETIC,Code of Practice,Procurement requirement for product/service conforming to SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00059,Synthetic procurement: Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00060,"Synthetic procurement: Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",SYNTHETIC,Terminology,"Procurement requirement for product/service conforming to Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00061,Synthetic procurement: Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),SYNTHETIC,Terminology,Procurement requirement for product/service conforming to Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00062,Synthetic procurement: Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00063,Synthetic procurement: Piston - Operated volumetric apparatus: Part 2 piston pipettes,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Piston - Operated volumetric apparatus: Part 2 piston pipettes,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00064,Synthetic procurement: SODIUM CARBONATE ANHYDROUS SPECIFICATION,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to SODIUM CARBONATE ANHYDROUS SPECIFICATION,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00065,Synthetic procurement: Specification for rot-proofed cotton tapes for aerospace purposes (first revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for rot-proofed cotton tapes for aerospace purposes (first revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00066,Synthetic procurement: Dissolved Acetylene (Gas) — Specification (Fourth Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Dissolved Acetylene (Gas) — Specification (Fourth Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00067,Synthetic procurement: Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00068,Synthetic procurement: Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00069,Synthetic procurement: Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),SYNTHETIC,Methods of Tests,Procurement requirement for product/service conforming to Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00070,Synthetic procurement: Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,SYNTHETIC,Others,Procurement requirement for product/service conforming to Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00071,Synthetic procurement: Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations — General Requirements ( First Revision ),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations — General Requirements ( First Revision ),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00072,Synthetic procurement: Oxygen Compressed Gas and Liquid-Specification (Fifth Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Oxygen Compressed Gas and Liquid-Specification (Fifth Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00073,Synthetic procurement: Forestry Tools - Wooden Filing Vice - Specification,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Forestry Tools - Wooden Filing Vice - Specification,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00074,Synthetic procurement: Specification for caulking mallets,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for caulking mallets,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00075,"Synthetic procurement: Solid mineral fuels - Determination of total carbon, hydrogen and nitrogen content - Instrumental method",SYNTHETIC,Methods of Tests,"Procurement requirement for product/service conforming to Solid mineral fuels - Determination of total carbon, hydrogen and nitrogen content - Instrumental method",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00076,"Synthetic procurement: Specification for linseed oil, raw and refined (Second Revision)",SYNTHETIC,Product Specification,"Procurement requirement for product/service conforming to Specification for linseed oil, raw and refined (Second Revision)",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00077,Synthetic procurement: Thermoplastics Hoses (Textile Reinforced) for Compressed Air — Specification (Second Revision),SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Thermoplastics Hoses (Textile Reinforced) for Compressed Air — Specification (Second Revision),GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00078,"Synthetic procurement: General requirements for steel drop, upset and press forgings",SYNTHETIC,Code of Practice,"Procurement requirement for product/service conforming to General requirements for steel drop, upset and press forgings",GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00079,Synthetic procurement: Face milling cutters with indexable inserts -- Dimensions,SYNTHETIC,Dimensions,Procurement requirement for product/service conforming to Face milling cutters with indexable inserts -- Dimensions,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00080,Synthetic procurement: Specification for burner pliers,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Specification for burner pliers,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00081,Synthetic procurement: Code of practice for corrosion protection of steel reinforcement in RB and RCC construction,SYNTHETIC,Code of Practice,Procurement requirement for product/service conforming to Code of practice for corrosion protection of steel reinforcement in RB and RCC construction,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
SYN-TENDER-00082,Synthetic procurement: Identification cards Physical characteristics,SYNTHETIC,Product Specification,Procurement requirement for product/service conforming to Identification cards Physical characteristics,GENERATED_FROM_SOURCE_TITLE,2026-09-04,SYNTHETIC,True
