pair_id,query,positive_standard_id,negative_standard_id,label,difficulty,reason,source,record_type,synthetic_flag
PAIR-7D415195CB625F7E,Need procurement guidance for Pesticide - Pirimiphos methyl space spray specification,MSV1-D693BFD6B8182E44,MSV1-AD786BB11264A052,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-BED3BFFD1BACFF44,Need procurement guidance for Graphical symbols - Creation and design of public information symbols - Requirements,MSV1-CD0199B1E7D492C2,MSV1-9061621E63D31777,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-64B358269C92E9C4,Need procurement guidance for Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),MSV1-534FE5AB9580D1F1,MSV1-0B299E67ADCF0520,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-94913D3283D4BE5E,Need procurement guidance for Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,MSV1-BB72737E5DD7CEAA,MSV1-860B09BC05D7F438,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-4701626DD61D2AF1,Need procurement guidance for METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,MSV1-6D3A36B9B8CB9BE9,MSV1-4BA22D13E1870256,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-99FAF6820F2154CE,Need procurement guidance for Industrial automation glossary,MSV1-167162C38D5C79D6,MSV1-4D40B27C76AB4034,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-402D7F412CB6BF41,Need procurement guidance for Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,MSV1-6B037C23D010A219,MSV1-4B4BBA8B1C559118,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-63CE6E59F01B4769,Need procurement guidance for ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),MSV1-A56935BCAF61C5DA,MSV1-E87C6AD593335EE3,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-0ACE52091D928DCB,Need procurement guidance for Specification for playgroijnd equipment for parks: Part ii horizontal bars,MSV1-CFBCFC071DA8AB32,MSV1-2239AA7B7A0008C0,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-9717F0D996B11BA9,Need procurement guidance for Head configuration and gauging of countersunk head screws,MSV1-55FB1F79EB65BAA6,MSV1-5C1302AB46849789,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-945BDDBA29BE79D7,"Need procurement guidance for Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",MSV1-A3F46B38962E88BA,MSV1-3FABE1847DAE98A8,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-E5642FDF5FEFB678,Need procurement guidance for Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,MSV1-7AD8E37548E77299,MSV1-3515FEF24E343684,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-3D684C9864131648,Need procurement guidance for Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),MSV1-51142D426ACE3C48,MSV1-57753C892EFB83F4,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-8A15DAAFB56F048D,Need procurement guidance for Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),MSV1-002B732AF92D3836,MSV1-56C9D0EA9FBB04E8,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-547494A345308D24,Need procurement guidance for Specification for bifurcated rivets for general purposes,MSV1-FB09E8DE59382516,MSV1-9C82431F8EB01DC6,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-EE07ABCDCAF06E44,Need procurement guidance for Internet of Things (loT) — Digital Twin — Use Cases,MSV1-6AB0A38FA591DFE5,MSV1-75D56F39141F3BFA,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-84F9250013AEA0E1,Need procurement guidance for Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,MSV1-ACA33D17049B7DDB,MSV1-8E36B3063366FAA5,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-B6AB967B0063F0C5,"Need procurement guidance for Triple superphosphate, fertilizer grade - Specification (Second Revision)",MSV1-16D15904229745DD,MSV1-3418A8DE58023815,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-818C9C334B48D8C1,Need procurement guidance for Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,MSV1-B81BC870E55EBFFF,MSV1-74656DF5B2192CBD,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-E7EB405D80F5D154,Need procurement guidance for CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,MSV1-5AAEFBBBB093A70E,MSV1-DDA408664BDE2818,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-FFFE04F93D732AEB,Need procurement guidance for Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,MSV1-C04F07EF31F1FEAC,MSV1-B0E1FB4BE26334C2,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-6F81DE398B8E54D6,Need procurement guidance for Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),MSV1-D63F542EE2156E0B,MSV1-CE73A2EC0BE6F39F,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-4AFF1E6783EC49B8,Need procurement guidance for Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,MSV1-4455E8D32414E939,MSV1-CED1A6BE2BED0C6E,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-55B22A9C63EB4490,Need procurement guidance for Specification for Tractor - Operated Disc Ploughs,MSV1-CC0EF6BFF04FBA78,MSV1-11577F1F4ED95A0D,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-79F85D5CA1B9F5DD,Need procurement guidance for Light basic magnesium carbonate - Specification (Second Revision),MSV1-F5A117CFA6A89A52,MSV1-3071E609B8DF6225,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-D75C2ECAB2512F78,Need procurement guidance for Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),MSV1-20F980C6DE18EADC,MSV1-DCB832B8F7957DE8,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-F7915EB41055E2C4,Need procurement guidance for Specification for static invertors for aircrafts,MSV1-D3BC74D77ED0F4F7,MSV1-1DEF626C1C7B9A7E,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-10702916EDEE960E,Need procurement guidance for Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,MSV1-9BB274D7418FE7C4,MSV1-80F37CFAF4BF9EE3,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-07C67627FB7F689A,Need procurement guidance for Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,MSV1-E1A095C2E653AF03,MSV1-0557AD63BCE0B171,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-DA883C06CF2769AB,Need procurement guidance for Brass Anodes for Electroplating Specification,MSV1-D87E95A582F73F7A,MSV1-EED7633F2EA0A2DD,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-36FA619BC10E05B2,Need procurement guidance for Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,MSV1-1BA4FB281572E84A,MSV1-DD959E92107D872D,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-2AC2A02DF1C4A28B,Need procurement guidance for TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,MSV1-4987A2E27DA3EC13,MSV1-2222F9CEB35B44C2,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-5FC1881051C75115,Need procurement guidance for Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),MSV1-15A921B8AB460D19,MSV1-7A1B5143FACDAA8A,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-60FB932CDDD6DC09,Need procurement guidance for INDIAN CLUBS - SPECIFICATION,MSV1-F34930B4433C6EFD,MSV1-029F3585B3A46862,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-50A64A4918FC7315,Need procurement guidance for Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),MSV1-181DA99A9755CF77,MSV1-80339549C76C63BA,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-B93C9585DC7F8CEE,Need procurement guidance for Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),MSV1-216B2AD022A6DB82,MSV1-EE0D7315F3C18ECD,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-51033696E173F105,Need procurement guidance for Software engineering Guidelines for the application of ISO 9001:2008 to computer software,MSV1-62876DA4B309C62E,MSV1-30EA5455EAF54BD0,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-3A8C5A9F1F643F63,Need procurement guidance for Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,MSV1-159215E002571816,MSV1-FF733027733C9BEC,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-B1D8BF5D5A68228D,Need procurement guidance for Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,MSV1-AC36832ABD6F44F0,MSV1-02681ED30600324C,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-DA41639039CCD49C,Need procurement guidance for Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,MSV1-D58636B0F249EF5F,MSV1-C08B6CA5A7905957,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-7A45DA28330806C0,Need procurement guidance for Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,MSV1-C9FA447378271B49,MSV1-DF6D6E0A0D53711E,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-71452C6EC5B3F5F9,Need procurement guidance for SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,MSV1-1924A37A30C5BED4,MSV1-DD890A9457AAEA17,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-6DAF0396E9B09C14,Need procurement guidance for Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),MSV1-4D531161A2CAE000,MSV1-130915FF4AAC29A4,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-9081CCB8D70BF466,"Need procurement guidance for Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",MSV1-10E0D11BAB6B0242,MSV1-68BA5BBEF28FAB2C,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-40ECF6CF17D56CEE,Need procurement guidance for Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),MSV1-FB0D6C55631DCD07,MSV1-49F36FC4A2B34B25,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-F98AC05270B7A58E,Need procurement guidance for Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,MSV1-C7486328BDB04795,MSV1-ABE93E938DDFB8AF,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-817E24AC182CB6E5,Need procurement guidance for Piston - Operated volumetric apparatus: Part 2 piston pipettes,MSV1-32775E6D176E9B52,MSV1-B29529E3B2690990,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-A9DECD0079F9536A,Need procurement guidance for SODIUM CARBONATE ANHYDROUS SPECIFICATION,MSV1-3EE6E6CEFBBBAA43,MSV1-7B75CF16C2F876B4,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-8190C062C1B14053,Need procurement guidance for Specification for rot-proofed cotton tapes for aerospace purposes (first revision),MSV1-C28B849A19335353,MSV1-C009866D145C2CAC,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-3BE734A079C9A94E,Need procurement guidance for Dissolved Acetylene (Gas) — Specification (Fourth Revision),MSV1-F8585B27B64E0DB6,MSV1-7B4AFF0C06DFF8A0,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-D36846341D7AB07E,Need procurement guidance for Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,MSV1-1D5C8ACDBD469023,MSV1-B52BAB3AA7090748,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-CEFC3E8B6DE3C9A8,Need procurement guidance for Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),MSV1-EBF0E53E3B7C8421,MSV1-5438B53B5E1EFCA1,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
PAIR-B8DE3FC2F655673B,Need procurement guidance for Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),MSV1-4A907C376C1FEC4E,MSV1-8F40725A15ECE8DE,POSITIVE_VS_NEGATIVE,SYNTHETIC_HARD_NEGATIVE,Negative selected from inventory without claiming semantic irrelevance.,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC,True
