requirement_id,tender_id,requirement_text,product,category,technical_attributes,mandatory_constraints,quantity,unit,record_type,synthetic_flag
SYN-REQ-00027,SYN-TENDER-00027,"Procurement requirement for product/service conforming to Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification","Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",Product Specification,pyriproxyfen; fenpropathrin; emulsifiable; concentrate; ec,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00028,SYN-TENDER-00028,Procurement requirement for product/service conforming to Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,Others,application; electrical; relays; ac; systems; overcurrent; feeders; transformers,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00029,SYN-TENDER-00029,Procurement requirement for product/service conforming to Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),Product Specification,straight; bevel; gears; general; engineering; heavy; 2; module; diametral; pitches; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00030,SYN-TENDER-00030,Procurement requirement for product/service conforming to Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),Methods of Tests,vitreous; enamelware; test; 2; low; high; voltage; tests; detecting; locating; defects; second,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00031,SYN-TENDER-00031,Procurement requirement for product/service conforming to Specification for bifurcated rivets for general purposes,Specification for bifurcated rivets for general purposes,Product Specification,bifurcated; rivets; general; purposes,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00032,SYN-TENDER-00032,Procurement requirement for product/service conforming to Internet of Things (loT) — Digital Twin — Use Cases,Internet of Things (loT) — Digital Twin — Use Cases,System Standard,internet; things; lot; digital; twin; use; cases,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00033,SYN-TENDER-00033,Procurement requirement for product/service conforming to Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,Safety Standard,industrial; furnaces; associated; processing; equipment; safety; 4; protective; systems,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00034,SYN-TENDER-00034,"Procurement requirement for product/service conforming to Triple superphosphate, fertilizer grade - Specification (Second Revision)","Triple superphosphate, fertilizer grade - Specification (Second Revision)",Product Specification,triple; superphosphate; fertilizer; grade; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00035,SYN-TENDER-00035,Procurement requirement for product/service conforming to Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,Methods of Tests,nickel; alloys; flame; atomic; absorption; spectrometric; analysis; 7; determination; aluminium; content,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00036,SYN-TENDER-00036,Procurement requirement for product/service conforming to CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,Dimensions,cinematography; 16; mm; negative; photographic; sound; record; on; 3516; 3532; motion; picture,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00037,SYN-TENDER-00037,Procurement requirement for product/service conforming to Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,Methods of Tests,environmental; testing; 3; supporting; documentation; guidance; 1; cold; dry; heat; tests,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00038,SYN-TENDER-00038,Procurement requirement for product/service conforming to Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),Product Specification,aluminium; clad; alloy; sheet; strip; aircraft; purposes; 24530,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00039,SYN-TENDER-00039,Procurement requirement for product/service conforming to Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,Product Specification,precast; reinforced; concrete; planks; joist; roofing; flooring,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00040,SYN-TENDER-00040,Procurement requirement for product/service conforming to Specification for Tractor - Operated Disc Ploughs,Specification for Tractor - Operated Disc Ploughs,Product Specification,tractor; operated; disc; ploughs,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00041,SYN-TENDER-00041,Procurement requirement for product/service conforming to Light basic magnesium carbonate - Specification (Second Revision),Light basic magnesium carbonate - Specification (Second Revision),Product Specification,light; basic; magnesium; carbonate; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00042,SYN-TENDER-00042,Procurement requirement for product/service conforming to Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),Product Specification,blow; moulded; hdpe; containers; packing; vanaspati; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00043,SYN-TENDER-00043,Procurement requirement for product/service conforming to Specification for static invertors for aircrafts,Specification for static invertors for aircrafts,Product Specification,static; invertors; aircrafts,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00044,SYN-TENDER-00044,Procurement requirement for product/service conforming to Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,Others,schedule; properties; availability; stones; construction; purposes; 2; maharashtra; state; sec; engineering; building,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00045,SYN-TENDER-00045,Procurement requirement for product/service conforming to Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,Product Specification,sterilization; health; care; products; biological; indicators; 2; ethylene; oxide; processes,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00046,SYN-TENDER-00046,Procurement requirement for product/service conforming to Brass Anodes for Electroplating Specification,Brass Anodes for Electroplating Specification,Product Specification,brass; anodes; electroplating,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00047,SYN-TENDER-00047,Procurement requirement for product/service conforming to Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,Methods of Tests,textiles; determination; recovery; from; creasing; folded; specimen; fabric; by; measuring; angle; 1,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00048,SYN-TENDER-00048,Procurement requirement for product/service conforming to TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,Product Specification,textiles; handloom; cotton; light; sheeting; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00049,SYN-TENDER-00049,Procurement requirement for product/service conforming to Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),Methods of Tests,test; petroleum; its; products; 54; determination; phosphorus; content; quinoline; phosphomolybdate; third; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00050,SYN-TENDER-00050,Procurement requirement for product/service conforming to INDIAN CLUBS - SPECIFICATION,INDIAN CLUBS - SPECIFICATION,Product Specification,indian; clubs,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00051,SYN-TENDER-00051,Procurement requirement for product/service conforming to Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),Terminology,glossary; terms; relating; builders; hardware; 2; latches; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00052,SYN-TENDER-00052,Procurement requirement for product/service conforming to Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),Methods of Tests,test; brown; coals; lignite; 3; determination; yields; tar; water; gas; coke; residue,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00053,SYN-TENDER-00053,Procurement requirement for product/service conforming to Software engineering Guidelines for the application of ISO 9001:2008 to computer software,Software engineering Guidelines for the application of ISO 9001:2008 to computer software,System Standard,software; engineering; application; iso; 9001; 2008; computer,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00054,SYN-TENDER-00054,Procurement requirement for product/service conforming to Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,Product Specification,karanja; pongamia; pinnata; pierre; seed; use; traditional; medicine,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00055,SYN-TENDER-00055,Procurement requirement for product/service conforming to Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,Methods of Tests,equipment; harvesting; conservation; round; balers; 2; performance; test,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00056,SYN-TENDER-00056,Procurement requirement for product/service conforming to Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,Others,cybersecurity; iot; security; privacy; device; baseline,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00057,SYN-TENDER-00057,Procurement requirement for product/service conforming to Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,Methods of Tests,agricultural; grain; driers; determination; drying; performance; 1; general,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00058,SYN-TENDER-00058,Procurement requirement for product/service conforming to SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,Code of Practice,selection; splicing; installation; providing; protection; open; ends; cables; used; connecting; resistance; type,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00059,SYN-TENDER-00059,Procurement requirement for product/service conforming to Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),Product Specification,agricultural; tillage; discs; 2; flat; type; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00060,SYN-TENDER-00060,"Procurement requirement for product/service conforming to Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests","Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",Terminology,electronic; equipment; systems; use; coal; metalliferrousmines; 1; definitions; general; tests,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00061,SYN-TENDER-00061,Procurement requirement for product/service conforming to Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),Terminology,aeronautical; astronautical; glossary; terms; 5; aerodynes; heavier; than; air; aircraft; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00062,SYN-TENDER-00062,Procurement requirement for product/service conforming to Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,Product Specification,earth; moving; machinery; volumetric; ratings; hoe; type; grab; buckets; hydraulic; excavators; backhoe,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00063,SYN-TENDER-00063,Procurement requirement for product/service conforming to Piston - Operated volumetric apparatus: Part 2 piston pipettes,Piston - Operated volumetric apparatus: Part 2 piston pipettes,Product Specification,piston; operated; volumetric; apparatus; 2; pipettes,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00064,SYN-TENDER-00064,Procurement requirement for product/service conforming to SODIUM CARBONATE ANHYDROUS SPECIFICATION,SODIUM CARBONATE ANHYDROUS SPECIFICATION,Product Specification,sodium; carbonate; anhydrous,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00065,SYN-TENDER-00065,Procurement requirement for product/service conforming to Specification for rot-proofed cotton tapes for aerospace purposes (first revision),Specification for rot-proofed cotton tapes for aerospace purposes (first revision),Product Specification,rot; proofed; cotton; tapes; aerospace; purposes; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00066,SYN-TENDER-00066,Procurement requirement for product/service conforming to Dissolved Acetylene (Gas) — Specification (Fourth Revision),Dissolved Acetylene (Gas) — Specification (Fourth Revision),Product Specification,dissolved; acetylene; gas; fourth; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00067,SYN-TENDER-00067,Procurement requirement for product/service conforming to Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,Product Specification,textiles; braided; nylon; cords; aerospace; purposes; third; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00068,SYN-TENDER-00068,Procurement requirement for product/service conforming to Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),Product Specification,potassium; nitrate; explosive; pyrotechnic; compositions; second; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00069,SYN-TENDER-00069,Procurement requirement for product/service conforming to Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),Methods of Tests,radio; frequency; coaxial; cable; assemblies; 3; sectional; semi; flexible; first; revision,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
SYN-REQ-00070,SYN-TENDER-00070,Procurement requirement for product/service conforming to Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,Others,accuracy; trueness; precision; measurement; results; 2; basic; determination; repeatability; reproducibility; standard,Human validation required,NOT_SPECIFIED,NOT_SPECIFIED,SYNTHETIC,True
